"No.","Time","Source","Destination","Protocol","Length","Info"
"663","6.897652843","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=158990 Win=387328 Len=0 TSval=3711847137 TSecr=4198298872"
"664","6.897690304","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=160408 Win=390144 Len=0 TSval=3711847137 TSecr=4198298872"
"665","6.897690328","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=161826 Win=392960 Len=0 TSval=3711847137 TSecr=4198298872"
"666","6.897690353","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=163244 Win=395776 Len=0 TSval=3711847137 TSecr=4198298874"
"667","6.897690378","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=164662 Win=398592 Len=0 TSval=3711847137 TSecr=4198298874"
"668","6.897701747","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=195858 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"669","6.897703498","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=197276 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"670","6.897704858","192.168.1.208","35.186.194.58","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"671","6.897706393","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=200112 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"672","6.897707722","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=201530 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"673","6.897709037","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=202948 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"674","6.897710282","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=204366 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"675","6.897711556","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=205784 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"676","6.897712804","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=207202 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"677","6.897714095","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [ACK] Seq=208620 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"678","6.897715407","192.168.1.208","35.186.194.58","TCP","1484","39150  >  443 [PSH, ACK] Seq=210038 Ack=4426 Win=64128 Len=1418 TSval=4198298888 TSecr=3711847137 [TCP segment of a reassembled PDU]"
"679","6.897690403","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=166080 Win=401408 Len=0 TSval=3711847137 TSecr=4198298874"
"680","6.897690427","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=167498 Win=404224 Len=0 TSval=3711847138 TSecr=4198298874"
"681","6.897690451","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=168916 Win=407040 Len=0 TSval=3711847138 TSecr=4198298874"
"682","6.897690477","35.186.194.58","192.168.1.208","TCP","66","443  >  39150 [ACK] Seq=4426 Ack=170334 Win=410112 Len=0 TSval=3711847138 TSecr=4198298874"
